table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
上海黄金交易所交易行情,QT_GoldTradeMarket,1,ID,ID,bigint,否,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,2,TradeDate,交易日期,datetime,,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,3,InfoSource,信息来源,varchar(100),,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,4,DateType,日期类别,int,否,日期类别(DateType)与(CT_SystemConst)表中的DM字段关联，令LB = 1083 AND DM IN (3)，得到日期类别的具体描述：3-日。,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,5,TradeVariety,交易品种,int,否,交易品种(TradeVariety)与(CT_SystemConst)表中的DM字段关联，令LB = 1135，得到交易品种的具体描述：1-Au50g，2-Au99.95，3-Au99.99，4-Au(T+5)，5-Au(T+D)，6-Pt99.95，7-Ag(T+D)，8-Ag99.9，9-Ag50g，10-Au100g，11-Au(T+N1)，12-Au...,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,6,InnerCode,内码编码,int,,内部编码（InnerCode）：与“证券主表（SecuMain）”中的“证券内部编码（InnerCode）”关联，得到现货的交易代码、交易简称等。,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,7,OpenPrice,开盘价(元/克),"decimal(18,4)",,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,8,ClosePrice,收盘价(元/克),"decimal(18,4)",,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,9,HighPrice,最高价(元/克),"decimal(18,4)",,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,10,LowPrice,最低价(元/克),"decimal(18,4)",,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,11,Change,涨跌(元/克),"decimal(18,4)",,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
