table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
JYDB_删除表,JYDB_DeleteRec,1,TABLENAME,表名,varchar(100),否,,本表记录各表删除记录的ID值,无,不定时更新
JYDB_删除表,JYDB_DeleteRec,2,RECID,被删除表ID,bigint,否,,本表记录各表删除记录的ID值,无,不定时更新
JYDB_删除表,JYDB_DeleteRec,3,XGRQ,修改日期,datetime,否,,本表记录各表删除记录的ID值,无,不定时更新
JYDB_删除表,JYDB_DeleteRec,4,ID,ID,bigint,否,,本表记录各表删除记录的ID值,无,不定时更新
JYDB_删除表,JYDB_DeleteRec,5,JSID,JSID,bigint,否,,本表记录各表删除记录的ID值,无,不定时更新
JYDB_删除表,JYDB_DeleteRec,最后修改日期: 2017-04-19,,,,,,本表记录各表删除记录的ID值,无,不定时更新
交易日表(新),QT_TradingDayNew,1,ID,ID,bigint,否,,本表收录各个市场的交易日信息，包括每个日期是否是交易日，是否周、月、季、年最后一个交易日,"TradingDate,SecuMarket",不定时更新
交易日表(新),QT_TradingDayNew,2,TradingDate,日期,datetime,否,,本表收录各个市场的交易日信息，包括每个日期是否是交易日，是否周、月、季、年最后一个交易日,"TradingDate,SecuMarket",不定时更新
交易日表(新),QT_TradingDayNew,3,IfTradingDay,是否交易日,int,,是否交易日（IfTradingDay），该字段固定以下常量：1-是，2-否。,本表收录各个市场的交易日信息，包括每个日期是否是交易日，是否周、月、季、年最后一个交易日,"TradingDate,SecuMarket",不定时更新
交易日表(新),QT_TradingDayNew,4,SecuMarket,证券市场,int,,证券市场(SecuMarket)与(CT_SystemConst)表中的DM字段关联，令LB = 201，得到证券市场的具体描述：71-柜台交易市场，72-香港联交所，77-美国纳斯达克证券交易所，83-上海证券交易所，85-伦敦证券交易所，89-银行间债券市场。,本表收录各个市场的交易日信息，包括每个日期是否是交易日，是否周、月、季、年最后一个交易日,"TradingDate,SecuMarket",不定时更新
