table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
A股发行与上市,LC_AShareIPO,1,ID,ID,bigint,否,,"1.该表包括A股首次发行上市的明细情况。
2.中文名称带*的，表示该字段表述的信息当前已不再披露。
3.2016年1月1日起实行新股发行与上市新规。新规实行前，新股发行的招股说明书发布日期与发行公告日为同一天，新规实行后，出现不同日期的情况。
4.数据范围：1990-12-10至今
5.信息来源：招股意向书、招股说明书、上市公告书等",InnerCode,不定时更新
A股发行与上市,LC_AShareIPO,2,InnerCode,证券内部编码,int,否,,"1.该表包括A股首次发行上市的明细情况。
2.中文名称带*的，表示该字段表述的信息当前已不再披露。
3.2016年1月1日起实行新股发行与上市新规。新规实行前，新股发行的招股说明书发布日期与发行公告日为同一天，新规实行后，出现不同日期的情况。
4.数据范围：1990-12-10至今
5.信息来源：招股意向书、招股说明书、上市公告书等",InnerCode,不定时更新
A股发行与上市,LC_AShareIPO,3,InitialInfoPublDate,首次信息发布日期,datetime,否,,"1.该表包括A股首次发行上市的明细情况。
2.中文名称带*的，表示该字段表述的信息当前已不再披露。
3.2016年1月1日起实行新股发行与上市新规。新规实行前，新股发行的招股说明书发布日期与发行公告日为同一天，新规实行后，出现不同日期的情况。
4.数据范围：1990-12-10至今
5.信息来源：招股意向书、招股说明书、上市公告书等",InnerCode,不定时更新
A股发行与上市,LC_AShareIPO,4,IntentLetterPublDate,招股公告日(招股意向书发布日期),datetime,,,"1.该表包括A股首次发行上市的明细情况。
2.中文名称带*的，表示该字段表述的信息当前已不再披露。
3.2016年1月1日起实行新股发行与上市新规。新规实行前，新股发行的招股说明书发布日期与发行公告日为同一天，新规实行后，出现不同日期的情况。
4.数据范围：1990-12-10至今
5.信息来源：招股意向书、招股说明书、上市公告书等",InnerCode,不定时更新
A股发行与上市,LC_AShareIPO,5,IntentLetterSignDate,招股意向书签署日期,datetime,,,"1.该表包括A股首次发行上市的明细情况。
2.中文名称带*的，表示该字段表述的信息当前已不再披露。
3.2016年1月1日起实行新股发行与上市新规。新规实行前，新股发行的招股说明书发布日期与发行公告日为同一天，新规实行后，出现不同日期的情况。
4.数据范围：1990-12-10至今
5.信息来源：招股意向书、招股说明书、上市公告书等",InnerCode,不定时更新
A股发行与上市,LC_AShareIPO,6,ProspectusPublDate,招股说明书发布日期,datetime,,,"1.该表包括A股首次发行上市的明细情况。
2.中文名称带*的，表示该字段表述的信息当前已不再披露。
3.2016年1月1日起实行新股发行与上市新规。新规实行前，新股发行的招股说明书发布日期与发行公告日为同一天，新规实行后，出现不同日期的情况。
4.数据范围：1990-12-10至今
5.信息来源：招股意向书、招股说明书、上市公告书等",InnerCode,不定时更新
A股发行与上市,LC_AShareIPO,7,IssuePublDate,发行公告日,datetime,,,"1.该表包括A股首次发行上市的明细情况。
2.中文名称带*的，表示该字段表述的信息当前已不再披露。
3.2016年1月1日起实行新股发行与上市新规。新规实行前，新股发行的招股说明书发布日期与发行公告日为同一天，新规实行后，出现不同日期的情况。
4.数据范围：1990-12-10至今
5.信息来源：招股意向书、招股说明书、上市公告书等",InnerCode,不定时更新
A股发行与上市,LC_AShareIPO,8,ProspectusSignDate,招股说明书签署日期,datetime,,,"1.该表包括A股首次发行上市的明细情况。
2.中文名称带*的，表示该字段表述的信息当前已不再披露。
3.2016年1月1日起实行新股发行与上市新规。新规实行前，新股发行的招股说明书发布日期与发行公告日为同一天，新规实行后，出现不同日期的情况。
4.数据范围：1990-12-10至今
5.信息来源：招股意向书、招股说明书、上市公告书等",InnerCode,不定时更新
A股发行与上市,LC_AShareIPO,9,IssueStartDate,发行日期上限,datetime,,,"1.该表包括A股首次发行上市的明细情况。
2.中文名称带*的，表示该字段表述的信息当前已不再披露。
3.2016年1月1日起实行新股发行与上市新规。新规实行前，新股发行的招股说明书发布日期与发行公告日为同一天，新规实行后，出现不同日期的情况。
4.数据范围：1990-12-10至今
5.信息来源：招股意向书、招股说明书、上市公告书等",InnerCode,不定时更新
A股发行与上市,LC_AShareIPO,10,IssueEndDate,发行日期下限,datetime,,,"1.该表包括A股首次发行上市的明细情况。
2.中文名称带*的，表示该字段表述的信息当前已不再披露。
3.2016年1月1日起实行新股发行与上市新规。新规实行前，新股发行的招股说明书发布日期与发行公告日为同一天，新规实行后，出现不同日期的情况。
4.数据范围：1990-12-10至今
5.信息来源：招股意向书、招股说明书、上市公告书等",InnerCode,不定时更新
