table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
公募基金_分级基金主表,MF_GradedFund,1,ID,ID,bigint,否,,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,2,InnerCode,基金内部编码,int,否,基金内部编码（InnerCode）：与“证券主表（SecuMain）”中的“证券内部编码（InnerCode）”关联，得到基金的交易代码、简称等。,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,3,InfoSource,信息来源,varchar(100),否,,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,4,InfoPublDate,信息发布日期,datetime,否,,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,5,OperCycle,运作周期长度,int,,运作周期长度(OperCycle)与(CT_SystemConst)表中的DM字段关联，令LB=1087，得到运作周期长度的具体描述：1-一个月，2-两个月，3-季度，6-半年，12-年度，24-两年，36-三年，60-五年，99-成立至今，990-期内，993-截止时点，995-周，996-日，999-期末。,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,6,AnnualEarningExp,A份额约定年基准收益表达式,varchar(1000),,,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,7,AnnualEarningRemark,A份额约定年基准收益表达式备注,varchar(1000),,,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,8,RegularShareCon,定期份额折算说明,varchar(1000),,,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,9,TrampShareCon,不定份额折算说明,varchar(1000),,,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,10,UpdateTime,更新时间,datetime,否,,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,11,JSID,JSID,bigint,否,,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金主表,MF_GradedFund,最后修改日期: 2017-04-19,,,,,,"1.本表记录分级基金的特有信息，包括A份额约定年基准收益表达式、定期/不定期份额折算说明等；
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,InfoSource,InfoPublDate",不定时更新
公募基金_分级基金约定收益率,MF_FundAnEarning,1,ID,ID,bigint,否,,"1.本表记录分级基金的约定收益率的表达式和具体值，及相应的起始日期和截止日期等。
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,BeginDate",日更新
公募基金_分级基金约定收益率,MF_FundAnEarning,2,InnerCode,基金内部编码,int,,基金内部编码（InnerCode）：与“证券主表（SecuMain）”中的“证券内部编码（InnerCode）”关联，得到基金的交易代码、简称等。,"1.本表记录分级基金的约定收益率的表达式和具体值，及相应的起始日期和截止日期等。
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,BeginDate",日更新
公募基金_分级基金约定收益率,MF_FundAnEarning,3,CompanyCode,公司代码,int,,公司代码（CompanyCode）：与“证券主表（SecuMain）”中的“公司代码（CompanyCode）”关联，得到基金公司的交易代码、简称等。,"1.本表记录分级基金的约定收益率的表达式和具体值，及相应的起始日期和截止日期等。
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,BeginDate",日更新
公募基金_分级基金约定收益率,MF_FundAnEarning,4,InfoSource,信息来源,varchar(100),,,"1.本表记录分级基金的约定收益率的表达式和具体值，及相应的起始日期和截止日期等。
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,BeginDate",日更新
公募基金_分级基金约定收益率,MF_FundAnEarning,5,InfoPublDate,信息发布日,datetime,,,"1.本表记录分级基金的约定收益率的表达式和具体值，及相应的起始日期和截止日期等。
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,BeginDate",日更新
公募基金_分级基金约定收益率,MF_FundAnEarning,6,FormulaDesc,公式描述,varchar(500),,,"1.本表记录分级基金的约定收益率的表达式和具体值，及相应的起始日期和截止日期等。
2.历史数据：2007年7月起-至今。
3.数据来源：基金产品招募说明书。","InnerCode,BeginDate",日更新
