table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
会员期货交易排名,Fut_MemberTVRank,1,ID,ID,bigint,否,,"1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
会员期货交易排名,Fut_MemberTVRank,2,InfoPublDate,信息发布日期,datetime,,,"1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
会员期货交易排名,Fut_MemberTVRank,3,InfoSources,信息来源,varchar(100),,,"1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
会员期货交易排名,Fut_MemberTVRank,4,EndDate,截止日期,datetime,否,,"1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
会员期货交易排名,Fut_MemberTVRank,5,ReportPeriod,数据统计期间,int,否,"数据统计期间(ReportPeriod)与(CT_SystemConst)表中的DM字段关联，令LB = 1074 AND DM IN (1,3)，得到数据统计期间的具体描述：1-月份，3-期末累计。","1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
会员期货交易排名,Fut_MemberTVRank,6,Exchange,交易所,int,否,"交易所(Exchange)与(CT_SystemConst)表中的DM字段关联，令LB = 1324 AND DM IN (10,13,15)，得到交易所的具体描述：10-上海期货交易所，13-大连商品交易所，15-郑州商品交易所。","1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
会员期货交易排名,Fut_MemberTVRank,7,MemberCode,会员号,varchar(50),否,,"1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
会员期货交易排名,Fut_MemberTVRank,8,MemberName,会员名称,varchar(200),,,"1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
会员期货交易排名,Fut_MemberTVRank,9,CorpCode,企业编号,int,,企业编号（CorpCode）：与“机构基本资料（LC_InstiArchive）”中的“企业编号（CompanyCode）”关联，得到会员机构的其他信息。,"1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
会员期货交易排名,Fut_MemberTVRank,10,RankType,统计类型,int,否,"统计类型(RankType)与(CT_SystemConst)表中的DM字段关联，令LB = 1403 AND DM IN (1301,1303)，得到统计类型的具体描述：1301-期货会员成交量，1303-期货会员成交金额。","1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
会员期货交易排名,Fut_MemberTVRank,11,Rank,成交排名,int,,,"1.目前主要为国内三大商品期货交易所会员按成交金额、成交量的排名情况。其中：上海期货交易所只有年度数据数据,统计区间为期末累计；大连商品交易所、郑州商品交易所有按月统计的数据.
2.数据范围：2007——2012
3.信息来源：上海期货交易所、郑州商品交易所、大连商品交易所","EndDate,ReportPeriod,Exchange,MemberCode,RankType",月更新和年更新
