table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
港股上市状态变动表,HK_ListStatus,1,ID,ID,bigint,否,,"1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股上市状态变动表,HK_ListStatus,2,InnerCode,证券内部编码,int,否,证券内部编码（InnerCode）：与“港股证券主表（HK_SecuMain）”中的“证券内部编码（InnerCode）”关联，得到港股的交易代码、简称等。,"1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股上市状态变动表,HK_ListStatus,3,InfoPublDate,信息发布日期,datetime,,,"1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股上市状态变动表,HK_ListStatus,4,InfoSource,信息来源,int,,信息来源(InfoSource)与(CT_SystemConst)表中的DM字段关联，令LB=1926，得到信息来源的具体描述：1-审计报告，2-第一季报，3-中期报告，4-第三季报，5-年度报告，6-第二季报，7-第四季报，8-第五季报，9-定期报告，10-申请版本，11-聆讯后资料集，12-招股章程，13-临时公告，14-审计报告(申报稿)，15-公开转...,"1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股上市状态变动表,HK_ListStatus,5,SMAnnounceDate,股东大会公告日期,datetime,,,"1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股上市状态变动表,HK_ListStatus,6,IfEffected,是否有效,int,否,"是否有效(IfEffected)与(CT_SystemConst)表中的DM字段关联，令LB=999 and DM in (1,2)，得到是否有效的具体描述：1-是，2-否。","1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股上市状态变动表,HK_ListStatus,7,ChangeType,变更类型,int,否,变更类型(ChangeType)与(CT_SystemConst)表中的DM字段关联，令LB=1184，得到变更类型的具体描述：1-上市，2-暂停上市，3-恢复上市，4-终止上市，5-摘牌，6-退市整理期，9-其它，11-开放日常申购，12-开放日常赎回，13-暂停日常申购(前端)，14-暂停日常赎回，15-恢复日常申购(前端)，16-恢复日常赎回，17-开...,"1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股上市状态变动表,HK_ListStatus,8,ChangeDate,变更日期,datetime,否,,"1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股上市状态变动表,HK_ListStatus,9,UpdateTime,更新时间,datetime,否,,"1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股上市状态变动表,HK_ListStatus,10,JSID,JSID,bigint,否,,"1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股上市状态变动表,HK_ListStatus,最后修改日期: 2017-04-19,,,,,,"1.记录港股公司上市流程的变动历史记录数据，包括上市、暂停上市（长期暂停）、恢复上市、终止上市等的变动情况。                       
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,ChangeDate,ChangeType",日更新
港股中介机构变动表,HK_AgencyChange,1,ID,ID,bigint,否,,"1.记录港股公司中介机构的变动历史记录数据，包括公司法律顾问、核数师、主要往来银行、股份过户处的变动情况。
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,EffectiveDate,EventType,AgenBeforeChange,AgenAfterChange",日更新
港股中介机构变动表,HK_AgencyChange,2,InnerCode,证券内部编码,int,否,证券内部编码（InnerCode）：与“港股证券主表（HK_SecuMain）”中的“证券内部编码（InnerCode）”关联，得到港股的交易代码、简称等。,"1.记录港股公司中介机构的变动历史记录数据，包括公司法律顾问、核数师、主要往来银行、股份过户处的变动情况。
2.数据范围：1999年至今。
3.信息来源：港交所。","InnerCode,EffectiveDate,EventType,AgenBeforeChange,AgenAfterChange",日更新
