table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
宏观基础指标数据,C_ED_MacroIndicatorData,1,ID,ID,bigint,否,,收录宏观基础指标时间序列数据,"IndicatorCode,EndDate",
宏观基础指标数据,C_ED_MacroIndicatorData,2,IndicatorCode,指标代码,int,否,指标代码（IndicatorCode）：与“宏观指标主表（C_ED_IndicatorMain）”中的“指标代码（IndicatorCode）” 关联，得到宏观指标的基础信息。,收录宏观基础指标时间序列数据,"IndicatorCode,EndDate",
宏观基础指标数据,C_ED_MacroIndicatorData,3,InfoPublDate,信息发布日期,datetime,,,收录宏观基础指标时间序列数据,"IndicatorCode,EndDate",
宏观基础指标数据,C_ED_MacroIndicatorData,4,EndDate,截止日期,datetime,,,收录宏观基础指标时间序列数据,"IndicatorCode,EndDate",
宏观基础指标数据,C_ED_MacroIndicatorData,5,DataValue,指标数据,"decimal(28,6)",,,收录宏观基础指标时间序列数据,"IndicatorCode,EndDate",
宏观基础指标数据,C_ED_MacroIndicatorData,6,PowerNumber,量纲系数,smallint,,量纲系数（PowerNumber）：聚源宏观数据都存放最小单位数据，此字段对应展示单位。例如：如果数据按百万公布，即10的6次方，则此处存的是6。,收录宏观基础指标时间序列数据,"IndicatorCode,EndDate",
宏观基础指标数据,C_ED_MacroIndicatorData,7,UpdateTime,更新时间,datetime,否,,收录宏观基础指标时间序列数据,"IndicatorCode,EndDate",
宏观基础指标数据,C_ED_MacroIndicatorData,8,JSID,JSID,bigint,否,,收录宏观基础指标时间序列数据,"IndicatorCode,EndDate",
宏观基础指标数据,C_ED_MacroIndicatorData,最后修改日期: 2017-04-19,,,,,,收录宏观基础指标时间序列数据,"IndicatorCode,EndDate",
宏观指标主表,C_ED_IndicatorMain,1,ID,ID,bigint,否,,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,2,IndicatorCode,指标代码,int,否,指标代码(IndicatorCode)：宏观指标聚源自编内码,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,3,IndicatorName,指标名称,varchar(300),,,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,4,InfoSourceCode,信息来源代码,int,,,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,5,InfoSource,信息来源,varchar(50),,,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,6,PowerNumber,量纲系数,smallint,,量纲系数(PowerNumber)：聚源宏观数据都存放最小单位数据，此字段对应展示单位。例如：如果数据按百万公布，即10的6次方，则此处存的是6。,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,7,IndiDimension,指标维度,varchar(500),,指标维度(IndiDimension)：宏观指标所有维度的代码序列,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,8,IndiCategory,指标类别,int,,指标类别(IndiCategory)与(C_ED_IDXSystemConst)表中的DM字段关联，令LB = 1001，得到指标类别的具体描述：,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,9,IndiState,指标状态,tinyint,,指标状态(IndiState)，该字段固定以下常量：1-有效  ；5-终止,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,10,BeginDate,起始日期,datetime,,,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,11,EndDate,截止日期(最新日期),datetime,,,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,12,UnitCode,单位代码,int,,单位代码(UnitCode)与(C_ED_IDXSystemConst)表中的DM字段关联，令LB = 17，得到单位代码的具体描述：,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,13,UnitCodeReport,单位代码(披露),int,,单位代码(披露)(UnitCodeReport)与(C_ED_IDXSystemConst)表中的DM字段关联，令LB = 17，得到单位代码(披露)的具体描述：,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,14,DisclosureFrequency,数据披露频率,int,,数据披露频率(DisclosureFrequency)与(C_ED_IDXSystemConst)表中的DM字段关联，令LB = 11，得到数据披露频率的具体描述：,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,15,IndiRemark,备注,varchar(2000),,,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,16,UpdateTime,更新时间,datetime,否,,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,17,JSID,JSID,bigint,否,,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标主表,C_ED_IndicatorMain,最后修改日期: 2017-04-19,,,,,,收录宏观指标信息，包括指标名称、各种维度。,IndicatorCode,
宏观指标系统常量表,C_ED_IDXSystemConst,1,ID,ID,bigint,否,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,2,LB,常量分类编码,int,否,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,3,LBMC,常量分类名称,varchar(50),否,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,4,DM,常量代码,int,否,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,5,MS,常量描述,varchar(300),否,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,6,FJD,父级代码,int,,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,7,IVALUE,预留标志位(整形值),int,,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,8,FVALUE,预留标志位(浮点值),float,,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,9,DVALUE,预留标志位(日期值),datetime,,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,10,CVALUE,预留标志位(字符值),varchar(500),,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,11,UpdateTime,修改日期,datetime,否,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,12,JSID,JSID,bigint,否,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标系统常量表,C_ED_IDXSystemConst,最后修改日期: 2017-04-19,,,,,,收录宏观指标的常量,整库销售，表不单独销售,
宏观指标维度表,C_ED_IndicatorDimension,1,ID,ID,bigint,否,,收录宏观指标的维度信息,"IndicatorCode,CategoryCode",
宏观指标维度表,C_ED_IndicatorDimension,2,IndicatorCode,指标代码,int,否,指标代码（IndicatorCode）：与“宏观指标主表（C_ED_IndicatorMain）”中的“指标代码（IndicatorCode）” 关联，得到宏观指标的基础信息。,收录宏观指标的维度信息,"IndicatorCode,CategoryCode",
宏观指标维度表,C_ED_IndicatorDimension,3,CategoryCode,维度类别,int,否,,收录宏观指标的维度信息,"IndicatorCode,CategoryCode",
宏观指标维度表,C_ED_IndicatorDimension,4,CategoryName,维度类别名称,varchar(50),,,收录宏观指标的维度信息,"IndicatorCode,CategoryCode",
宏观指标维度表,C_ED_IndicatorDimension,5,DimensionCode,维度代码,int,否,,收录宏观指标的维度信息,"IndicatorCode,CategoryCode",
宏观指标维度表,C_ED_IndicatorDimension,6,DimensionName,维度名称,varchar(300),,,收录宏观指标的维度信息,"IndicatorCode,CategoryCode",
宏观指标维度表,C_ED_IndicatorDimension,7,UpdateTime,更新时间,datetime,否,,收录宏观指标的维度信息,"IndicatorCode,CategoryCode",
宏观指标维度表,C_ED_IndicatorDimension,8,JSID,JSID,bigint,否,,收录宏观指标的维度信息,"IndicatorCode,CategoryCode",
宏观指标维度表,C_ED_IndicatorDimension,最后修改日期: 2017-04-19,,,,,,收录宏观指标的维度信息,"IndicatorCode,CategoryCode",
