table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
机构基本资料,LC_InstiArchive,1,ID,ID,bigint,否,,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
机构基本资料,LC_InstiArchive,2,CompanyCode,企业编号,int,,,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
机构基本资料,LC_InstiArchive,3,ParentCompany,所属公司,int,,所属公司（ParentCompany）：与本表中的“企业编号（CompanyCode）”关联，得到所属公司的基础信息。,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
机构基本资料,LC_InstiArchive,4,ListedCode,上市公司代码,int,,上市公司代码（ListedCode）：与“证券主表（SecuMain）”中的“公司代码（CompanyCode）”关联，得到相应的上市公司的交易代码、证券简称等信息。,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
机构基本资料,LC_InstiArchive,5,InvestAdvisorName,基金管理人名称,int,,基金管理人名称（InvestAdvisorName）：与“基金管理人概况（MF_InvestAdvisorOutline）“中的“基金管理人编码（InvestAdvisorCode）”关联，得到相应的基金管理人的基础信息。,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
机构基本资料,LC_InstiArchive,6,TrusteeName,基金托管人名称,int,,基金托管人名称（TrusteeName）：与“基金托管人概况（MF_TrusteeOutline）”中的“基金托管人编号（TrusteeCode）”关联，得到相应的基金托管人的基础信息。,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
机构基本资料,LC_InstiArchive,7,ChiName,中文名称,varchar(100),,,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
机构基本资料,LC_InstiArchive,8,AbbrChiName,中文简称,varchar(100),,,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
机构基本资料,LC_InstiArchive,9,NameChiSpelling,中文拼音简称,varchar(100),,,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
机构基本资料,LC_InstiArchive,10,EngName,英文名称,varchar(100),,,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
机构基本资料,LC_InstiArchive,11,AbbrEngName,英文简称,varchar(100),,,"1.收录市场上重要机构的基本资料情况，如证券公司、信托公司、保险公司等；包含机构名称、机构信息、联系方式、机构背景等信息
2.数据源：国家企业信用信息公示系统等",由于“所属行业（Industry）”之前的数据源已不再维护，现更改相关的行业标准以“国民经济行业分类(2017)-32”为准，具体行业数据后续数据补充中。,不定时更新
