table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
融资融券交易总量,MT_TradingStat,1,ID,ID,bigint,否,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,2,InfoSource,信息来源,varchar(50),,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,3,TradingDay,信用交易日期,datetime,否,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,4,SecuMarket,证券市场,int,否,"证券市场(SecuMarket)与(CT_SystemConst)表中的DM字段关联，令LB = 201 AND DM IN (83,90)，得到证券市场的具体描述：83-上海证券交易所，90-深圳证券交易所。","1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,5,ReportPeriod,统计期间,int,否,统计期间(ReportPeriod)与(CT_SystemConst)表中的DM字段关联，令LB = 1074 AND DM = 5，得到统计期间的具体描述：5-日。,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,6,FinanceValue,融资余额(元),"decimal(19,4)",,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,7,FinanceBuyValue,融资买入额(元),"decimal(19,4)",,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,8,FinanceRefundValue,融资偿还额(元),"decimal(19,4)",,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,9,SecurityVolume,融券余量(股),"decimal(18,2)",,融券余量（股）（SecurityVolume）：有公布取公布值；未公布则等于本日交易明细融券余量求和,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,10,SecurityValue,融券余量金额(元),"decimal(19,4)",,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,11,SecuritySellVolume,融券卖出量(股),"decimal(18,2)",,融券卖出量（SecuritySellVolume）：深交所=公布数据；上交所=本日交易明细融券卖出量求和,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,12,TradingValue,融资融券交易总金额(元),"decimal(19,4)",,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,13,FinaInTVRatio,融资占融资融券总额比(%),"decimal(9,6)",,融资占融资融券总额比（FinaInTotalRatio）=（融资余额/融资融券交易总金额）*100,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,14,TVChangeRatio,融资融券总额变动(%),"decimal(9,4)",,融资融券总额变动（TVChangeRatio）=（本日的融资融券交易总金额/上一日的融资融券交易总金额-1）*100,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,15,TVChangeRatioHS,沪深融资融券总额变动(%),"decimal(9,4)",,沪深融资融券总额变动（TVChangeRatioHS）=（沪深市场本日的融资融券交易总金额/沪深市场上一日的融资融券交易总金额-1）*100,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,16,UpdateTime,更新时间,datetime,否,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,17,JSID,JSID,bigint,否,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,交易概况(公布值),,,,,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,最后修改日期: 2017-04-19,,,,,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易总量,MT_TradingStat,聚源计算,,,,,,"1.收录国内证券交易所披露的融资融券日交易汇总数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","TradingDay,SecuMarket,ReportPeriod",日更新
融资融券交易明细,MT_TradingDetail,1,ID,ID,bigint,否,,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,2,InfoSource,信息来源,varchar(50),,,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,3,InnerCode,内部编码,int,否,内部编码（InnerCode）：与“证券主表（SecuMain）”中的“证券内部编码（InnerCode）”关联，得到证券的交易代码、简称等。,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,4,TradingDay,信用交易日期,datetime,否,,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,5,SecuMarket,证券市场,int,,"证券市场(SecuMarket)与(CT_SystemConst)表中的DM字段关联，令LB = 201 AND DM IN (83,90)，得到证券市场的具体描述：83-上海证券交易所，90-深圳证券交易所。","1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,6,FinanceValue,融资余额(元),"decimal(19,4)",,,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,7,FinanceBuyValue,融资买入额(元),"decimal(19,4)",,,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,8,FinanceRefundValue,融资偿还额(元),"decimal(19,4)",,融资偿还额（FinanceRefundValue）：深交所=前日融资余额+本日融资买入额-本日融资余额；上交所=公布数据,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,9,SecurityVolume,融券余量(股),"decimal(18,2)",,,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,10,SecuritySellVolume,融券卖出量(股),"decimal(18,2)",,,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,11,SecurityRefundVolume,融券偿还量(股),"decimal(18,2)",,,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,12,SecurityValue,融券余额(元),"decimal(19,4)",,融券余额（SecurityValue）：深交所=公布数据；上交所=融券余量与对应的股价乘积,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
融资融券交易明细,MT_TradingDetail,13,TradingValue,融资融券交易总金额(元),"decimal(19,4)",,融资融券交易总金额（TradingValue）：深交所=公布数据；上交所=融资余额+融券余额,"1.收录国内证券交易所披露的收录融资融券日交易明细数据
2.历史数据：2010年3月起-至今。
3.数据来源：聚源按照上交所、深交所原始披露整理","InnerCode,TradingDay",日更新
