table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
新闻动态表,NI_DynamicNews,1,ID,ID,bigint,否,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,2,InfoPublDate,信息发布时间,datetime,否,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,3,InfoTitle,新闻标题,varchar(250),否,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,4,Category,新闻分类,int,,新闻分类(Category)与(CT_SystemConst)表中的DM字段关联，令LB = 1007，得到新闻分类的具体描述：1-证券市场动态，2-证券市场研究，3-股市评论，4-个股推荐，5-公司研究，6-公司动态，7-新股发行介绍，8-新股上市定位，9-板块分析，10-财经时事，11-宏观分析，12-行业动态，13-行业分析，14-行业政策，15-证券...,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,5,NewsType,资讯类型,int,否,资讯类型(NewsType)与(CT_SystemConst)表中的DM字段关联，令LB = 1831，得到资讯类型的具体描述：1-网站URL链接，2-手机类url链接，3-文本类资讯，4-图文类资讯。,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,6,MediaCode,媒体代码,int,,媒体代码(MediaCode)与(CT_SystemConst)表中的DM字段关联，令LB = 1183，得到媒体代码的具体描述：1-中国证券报，2-证券时报，3-上海证券报，4-证券日报，5-大众证券，6-第一财经日报，7-证券市场周刊，8-财经时报，9-东方财富，10-金融时报，11-金融投资报，12-英国《金融时报》，13-财华社，14-和讯，15-网...,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,7,Media,媒体名称,varchar(40),,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,8,InfoURL,新闻链接,varchar(400),,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,9,Content,新闻内容,text,,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,10,Flag,资讯级别,int,,资讯级别（Flag）：10最高，1最低,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,11,PictureContent,图片内容,blob,,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,12,PictureType,图片格式,int,,图片格式(PictureType)与(CT_SystemConst)表中的DM字段关联，令LB = 1388，得到图片格式的具体描述：1-JPG，2-BMP，3-GIF，4-SWF，5-JPEG，6-PNG。,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,13,PictureURL,图片链接,varchar(200),,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,14,CompanyTag,公司标签,int,,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,15,IndustryTag,所属行业标签,int,,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,16,UpdateTime,更新时间,datetime,否,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
新闻动态表,NI_DynamicNews,17,JSID,JSID,bigint,否,,"1.收录市场及公司重大新闻资讯，主要特色为新闻都配有图片，可用于APP或网站展示，每日数据更新量50条左右。
2.数据范围：2012-至今",需媒体版权,滚动更新
